Data; Tipo; Ativo; Quantidade; Preco; Corretagem; Taxas Liquidação; Emolumentos; ISS; IRRF; Outras Taxas;
23/04/2021;Compra;ETH/BRL;0,05904694;12752,39;0,00029523
23/04/2021;Compra;ETH/BRL;0,02016491;12799,98;0,00010082
23/04/2021;Compra;ETH/BRL;0,31163302;12799,98;0,00155816
24/04/2021;Compra;XRP/BRL;830,52384;6,209;4,152619
25/04/2021;Compra;LINK/BRL;26,18075191;190,98;0,13090375
27/04/2021;Compra;LTC/BRL;3,60227952;1387,6;0,01801139
28/04/2021;Compra;LTC/BRL;2,12693551;1410,03;0,01063467
28/04/2021;Compra;XRP/BRL;404,15471;7,414;2,020773
28/04/2021;Compra;LINK/BRL;15,12554199;198,32;0,0756277
01/05/2021;Compra;CHZ/BRL;969,66774193;3,1;4,8483387
04/05/2021;Venda;CHZ/BRL;482,40970161;2,82;6,801
04/05/2021;Venda;CHZ/BRL;338,44938108;2,9;4,907
04/05/2021;Venda;CHZ/BRL;1,0;2,9;0,014
04/05/2021;Venda;CHZ/BRL;17,31826715;2,88;0,249
04/05/2021;Venda;CHZ/BRL;86,80555554;2,88;1,249
04/05/2021;Venda;CHZ/BRL;17,42160278;2,87;0,249
04/05/2021;Venda;CHZ/BRL;21,41489504;2,86;0,306
11/05/2021;Compra;XRP/BRL;372,648305;7,807;1,863241
19/05/2021;Compra;LTC/BRL;1,216545;1321,28;0,00608272
19/05/2021;Compra;LTC/BRL;6,35135801;1321,29;0,03175679
19/05/2021;Compra;XRP/BRL;943,0;7,37;4,715
19/05/2021;Compra;XRP/BRL;411,565455;7,371;2,057827
19/05/2021;Compra;LINK/BRL;7,2197;177,06;0,0360985
19/05/2021;Compra;LINK/BRL;49,23601049;177,07;0,24618005
19/05/2021;Compra;ETH/BRL;1,8994813;13699,64;0,0094974
